Region,Month and Year,Homicide Total,Murder,Attempted / Conspiracy to Murder,Manslaughter,Driving Causing Death,Recent Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Historical Sexual Offence Total,Sexual Assault,Non-Assaultive Sexual Offences,Assault (Family) Total,Serious Assault (Family),Common Assault (Family),Assault (Non-Family) Total,Serious Assault (Non-Family),Common Assault (Non-Family),Assault Police Officer,Threatening Behaviour (Family) Total,Threatening Behaviour (Family),Possess Weapon to Cause Fear (Family),Threatening Behaviour (Non-Family) Total,Threatening Behaviour (Non-Family),Possess Weapon to Cause Fear (Non-Family),Deprivation of Liberty Total,Kidnapping / Child Stealing,Deprivation of Liberty,Robbery Total,Robbery (Business),Robbery (Non-Business),,Burglary Total,Burglary (Dwelling),Burglary (Non-Dwelling),Stealing of Motor Vehicle,Stealing Total,Stealing From Motor Vehicle (Contents or Parts),Stealing From Retail Premises (Shoplift),Stealing From Dwelling,Stealing From Other Premises or Place,Stealing as a Servant,Stealing (Not Elsewhere Classified),Property Damage Total,Criminal Damage,Damage,Arson Total,Cause Bushfire,Cause Damage by Fire,Other Fire Related Offences,,,Drug Offences Total,Drug Dealing,Drug Possession,Possession of Drug Paraphernalia,Cultivate or Manufacture Drugs,Other Drug Offences,Receiving and Possession of Stolen Property Total,Possess Stolen Property,Receiving Stolen Property,Regulated Weapons Offences,,Graffiti,Fraud & Related Offences Total,Forgery,Fraud (Credit Card),Fraud (Not Elsewhere Classified),Breach of Violence Restraint Order Total,Breach of Family Violence Restraint Order,Breach of Violence Restraint Order,Breach of Police Order,Total Selected Miscellaneous Offences
Armadale,Oct-10,1,0,0,0,1,15,10,5,5,5,0,62,17,45,63,23,40,0,15,12,3,19,12,7,7,0,7,11,0,11,198,310,256,54,39,469,0,0,0,0,1,468,260,35,225,11,1,10,0,1089,1287,81,5,49,20,7,0,12,8,4,7,100,39,43,0,0,43,29,21,5,3,111
Armadale,Nov-10,0,0,0,0,0,16,12,4,4,3,1,87,24,63,97,28,66,3,5,3,2,19,15,4,2,0,2,15,1,14,245,311,256,55,56,494,0,0,0,0,1,493,297,30,267,9,1,8,0,1167,1412,76,2,44,24,6,0,20,13,7,12,108,37,47,0,0,47,42,24,7,11,126
Armadale,Dec-10,0,0,0,0,0,10,8,2,2,2,0,91,27,64,68,24,41,3,5,5,0,15,9,6,2,0,2,12,0,12,205,259,213,46,50,422,0,0,0,0,1,421,315,27,288,6,0,6,0,1052,1257,69,5,38,17,9,0,10,8,2,19,98,33,40,2,0,38,37,17,15,5,110
Armadale,Jan-11,0,0,0,0,0,18,17,1,11,10,1,87,15,72,83,33,46,4,14,10,4,12,9,3,2,0,2,7,3,4,234,289,220,69,81,433,0,0,0,0,0,433,270,33,237,12,3,9,0,1085,1319,58,9,34,6,9,0,14,12,2,24,96,44,40,0,0,40,45,32,7,6,129
Armadale,Feb-11,1,0,0,0,1,74,69,5,16,16,0,88,21,67,78,23,51,4,9,9,0,11,3,8,4,0,4,13,1,12,294,205,164,41,68,444,0,0,0,0,3,441,232,20,212,6,2,4,0,955,1249,73,4,38,22,8,1,7,4,3,6,86,33,16,0,0,16,37,24,7,6,86
Armadale,Mar-11,0,0,0,0,0,12,10,2,13,13,0,66,14,52,79,22,55,2,8,7,1,29,21,8,1,0,1,11,1,10,219,258,222,36,64,410,0,0,0,0,3,407,225,18,207,6,3,3,0,963,1182,80,5,41,25,9,0,13,11,2,13,106,38,21,0,0,21,72,57,9,6,131
Armadale,Apr-11,1,1,0,0,0,11,9,2,6,6,0,57,9,48,70,26,43,1,11,10,1,21,10,11,4,0,4,9,0,9,190,257,189,68,46,403,0,0,0,0,1,402,195,19,176,5,3,2,0,906,1096,44,6,29,7,2,0,4,2,2,15,63,38,15,0,0,15,215,212,0,3,268
Armadale,May-11,0,0,0,0,0,7,5,2,21,20,1,72,16,56,56,22,32,2,8,6,2,11,4,7,1,0,1,8,4,4,184,293,240,53,77,419,0,0,0,0,0,419,225,23,202,4,0,4,0,1018,1202,84,7,51,19,7,0,12,10,2,2,98,18,35,1,0,34,462,451,6,5,515
Armadale,Jun-11,1,0,0,0,1,10,8,2,16,14,2,78,9,69,59,18,38,3,15,13,2,11,8,3,3,1,2,14,2,12,207,258,217,41,74,412,0,0,0,0,5,407,186,13,173,1,0,1,0,931,1138,131,17,66,34,13,1,12,7,5,15,158,25,24,1,0,23,62,43,11,8,111
Armadale,Jul-11,0,0,0,0,0,5,4,1,8,5,3,87,21,66,56,18,32,6,12,11,1,11,6,5,1,0,1,6,1,5,186,315,258,57,72,411,0,0,0,0,1,410,209,22,187,6,1,5,0,1013,1199,90,8,41,26,15,0,9,9,0,7,106,22,92,1,0,91,61,40,14,7,175
